ask.fmt,postMarketChangePercent.fmt,averageDailyVolume10Day.raw,marketCap.fmt,financialCurrency,fiftyTwoWeekChangePercent.fmt,fiftyTwoWeekRange.raw,fiftyTwoWeekLow.fmt,regularMarketChangePercent.fmt,Name,market,bidSize.fmt,exchangeDataDelayedBy,sharesOutstanding.longFmt,region,sharesOutstanding.raw,marketCap.raw,fiftyTwoWeekChangePercent.raw,quoteType,hasPrePostMarketData,fiftyTwoWeekLow.raw,fiftyTwoWeekHighChangePercent.raw,message,trailingAnnualDividendYield.raw,twoHundredDayAverageChange.fmt,sourceInterval,fiftyTwoWeekHighChange.fmt,priceHint,earningsTimestampStart.raw,regularMarketDayHigh.fmt,fiftyDayAverageChange.fmt,dividendRate.fmt,epsForward.raw,fiftyTwoWeekLowChangePercent.raw,twoHundredDayAverageChange.raw,askSize.fmt,regularMarketOpen.raw,dividendYield.fmt,forwardPE.raw,fullExchangeName,averageDailyVolume3Month.raw,bookValue.fmt,nameChangeDate,fiftyTwoWeekHighChange.raw,marketState,bookValue.raw,postMarketPrice.fmt,postMarketPrice.raw,earningsTimestampEnd.raw,epsTrailingTwelveMonths.raw,ask.raw,trailingAnnualDividendRate.fmt,fiftyTwoWeekRange.fmt,dividendYield.raw,fiftyDayAverage.fmt,epsCurrentYear.fmt,postMarketChangePercent.raw,dividendDate.longFmt,regularMarketChangePercent.raw,exchangeTimezoneName,header,exchange,bidSize.longFmt,regularMarketDayLow.raw,trailingPE.raw,regularMarketChange.fmt,regularMarketDayLow.fmt,trailingPE.fmt,regularMarketPreviousClose.raw,earningsTimestampEnd.longFmt,meta.amount,tradeable,triggerable,epsForward.fmt,bid.raw,typeDisp,meta.eventType,averageDailyVolume10Day.fmt,regularMarketDayHigh.raw,earningsTimestamp.longFmt,Name,fiftyTwoWeekLowChange.raw,earningsCallTimestampStart.fmt,epsTrailingTwelveMonths.fmt,averageDailyVolume3Month.fmt,messageBoardId,fiftyTwoWeekLowChange.fmt,customPriceAlertConfidence,earningsTimestampEnd.fmt,prevName,regularMarketDayRange.raw,regularMarketPrice.fmt,earningsCallTimestampStart.raw,priceEpsCurrentYear.raw,language,exchangeTimezoneShortName,ipoExpectedDate,forwardPE.fmt,trailingAnnualDividendYield.fmt,meta.dateEpochMs,postMarketTime.fmt,fiftyDayAverageChangePercent.raw,dividendRate.raw,fiftyTwoWeekHighChangePercent.fmt,earningsTimestampStart.longFmt,bid.fmt,postMarketTime.raw,currency,Ticker,regularMarketTime.fmt,earningsTimestampStart.fmt,gmtOffSetMilliseconds,fiftyDayAverage.raw,postMarketChange.fmt,askSize.longFmt,bidSize.raw,regularMarketChange.raw,twoHundredDayAverageChangePercent.fmt,epsCurrentYear.raw,regularMarketPreviousClose.fmt,averageDailyVolume3Month.longFmt,regularMarketOpen.fmt,earningsCallTimestampEnd.raw,earningsTimestamp.raw,askSize.raw,fiftyTwoWeekHigh.fmt,meta.splitRatio,fiftyDayAverageChange.raw,regularMarketVolume.raw,averageDailyVolume10Day.longFmt,twoHundredDayAverageChangePercent.raw,sharesOutstanding.fmt,postMarketChange.raw,fiftyTwoWeekHigh.raw,fiftyTwoWeekLowChangePercent.fmt,twoHundredDayAverage.fmt,averageAnalystRating,earningsCallTimestampEnd.longFmt,firstTradeDateMilliseconds,earningsTimestamp.fmt,earningsCallTimestampEnd.fmt,priceToBook.raw,regularMarketPrice.raw,priceEpsCurrentYear.fmt,cryptoTradeable,regularMarketVolume.fmt,dividendDate.raw,quoteSourceName,earningsCallTimestampStart.longFmt,regularMarketVolume.longFmt,trailingAnnualDividendRate.raw,priceToBook.fmt,twoHundredDayAverage.raw,marketCap.longFmt,regularMarketDayRange.fmt,isEarningsDateEstimate,fiftyDayAverageChangePercent.fmt,regularMarketTime.raw,dividendDate.fmt,displayName
182.00,-0.03%,192173920,4.381T,USD,53.22%,86.62 - 212.19,86.62,-1.59%,NVIDIA Corporation,us_market,8,0,"24,300,000,000",US,24300000000.0,4380976218112.0,53.216766,EQUITY,True,86.62,-0.15052548,,0.00021838829,3.08,15,-31.94,2,1779307200.0,186.09,-5.36,0.04,10.80058,1.0809281,3.0828552,1,184.91,0.02%,16.68892,NasdaqGS,175532301,6.47,2026-03-13,-31.940002,CLOSED,6.472,180.20,180.1982,1779307200.0,4.9,182.0,0.04,86.62 - 212.19,0.02,185.61,8.25,-0.028739855,2025-12-25T19:00,-1.58878,America/New_York,,NMS,8,179.94,36.785713,-2.91,179.94,36.79,183.16,2026-05-20T16:00,,False,True,10.80,180.01,Equity,,192.174M,186.09,2026-05-20T16:00,NVIDIA Corporation,93.63,2026-02-25,4.90,175.532M,finmb_32307,93.63,HIGH,2026-05-20,Usual Stablecoin,179.94 - 186.09,180.25,1772056800.0,21.844011,en-US,EDT,,16.69,0.02%,,7:59PM EDT,-0.028858917,0.04,-15.05%,2026-05-20T16:00,180.01,1773446399.0,USD,NVDA,4:00PM EDT,2026-05-20,-14400000,185.6064,-0.05,1,8,-2.91,1.74%,8.25169,183.16,"175,532,301",184.91,1772056800.0,1779307200.0,1.0,212.19,,-5.3563995,156420571,"192,173,920",0.01740083,24.3B,-0.05180359,212.19,108.09%,177.17,1.3 - Strong Buy,2026-02-25T22:00,917015400000,2026-05-20,2026-02-25,27.85074,180.25,21.84,False,156.421M,1766707200.0,Nasdaq Real Time Price,2026-02-25T22:00,"156,420,571",0.04,27.85,177.16714,"4,380,976,218,112",179.94 - 186.09,False,-2.89%,1773432000,2025-12-25,NVIDIA
250.65,-0.12%,41916720,3.676T,USD,19.51%,169.21 - 288.62,169.21,-2.21%,Apple Inc.,us_market,1,0,"14,681,140,000",US,14681140000.0,3676245065728.0,19.514025,EQUITY,True,169.21,-0.13339339,,0.004027213,4.79,15,-38.50,2,1777579200.0,256.33,-13.05,1.04,9.29587,0.47816315,4.785248,3,255.4,0.42%,26.906572,NasdaqGS,48149878,6.00,,-38.5,CLOSED,5.998,249.82,249.82,1777579200.0,7.9,250.65,1.03,169.21 - 288.62,0.42,263.17,8.51,-0.11993755,2026-02-11T19:00,-2.20519,America/New_York,,NMS,1,249.52,31.660759,-5.64,249.52,31.66,255.76,2026-04-30T16:00,,False,True,9.30,240.0,Equity,,41.917M,256.33,2026-01-29T16:00,Apple Inc.,80.90999,2026-01-29,7.90,48.15M,finmb_24937,80.91,HIGH,2026-04-30,,249.52 - 256.33,250.12,1769724000.0,29.38823,en-US,EDT,,26.91,0.40%,,7:59PM EDT,-0.049576215,1.04,-13.34%,2026-04-30T16:00,240.00,1773446398.0,USD,AAPL,4:00PM EDT,2026-04-30,-14400000,263.1668,-0.30,3,1,-5.64,1.95%,8.51089,255.76,"48,149,878",255.40,1769724000.0,1769720400.0,3.0,288.62,,-13.046814,34193754,"41,916,720",0.019504974,14.681B,-0.2999878,288.62,47.82%,245.33,1.9 - Buy,2026-01-29T22:00,345479400000,2026-01-29,2026-01-29,41.700565,250.12,29.39,False,34.194M,1770854400.0,Nasdaq Real Time Price,2026-01-29T22:00,"34,193,754",1.03,41.70,245.33475,"3,676,245,065,728",249.52 - 256.33,True,-4.96%,1773432003,2026-02-11,Apple
316.65,-0.18%,30739900,3.657T,USD,84.76%,140.53 - 349.0,140.53,-0.42%,Alphabet Inc.,us_market,1,0,"5,822,000,000",US,5822000000.0,3656681259008.0,84.76474,EQUITY,True,140.53,-0.1338682,,0.0027343107,46.46,15,-46.72,2,1776974400.0,307.61,-16.91,0.84,13.41138,1.1509998,46.455856,1,307.18,0.28%,22.539068,NasdaqGS,33613376,34.35,,-46.72,CLOSED,34.353,301.74,301.7442,1776974400.0,10.82,316.65,0.83,140.53 - 349.00,0.28,319.19,11.57,-0.17725192,2026-03-15T20:00,-0.418379,America/New_York,,NMS,1,300.44,27.937155,-1.27,300.44,27.94,303.55,2026-04-23T16:00,,False,True,13.41,285.78,Equity,,30.74M,307.615,2026-02-04T16:00,Alphabet Inc.,161.75,2026-02-04,10.82,33.613M,finmb_29096,161.75,HIGH,2026-04-23,,300.44 - 307.615,302.28,1770240600.0,26.127634,en-US,EDT,,22.54,0.27%,,7:59PM EDT,-0.052963644,0.84,-13.39%,2026-04-23T16:00,285.78,1773446399.0,USD,GOOGL,4:00PM EDT,2026-04-23,-14400000,319.1852,-0.54,1,1,-1.26999,18.16%,11.56936,303.55,"33,613,376",307.18,1770240600.0,1770238800.0,1.0,349.00,,-16.905212,23640054,"30,739,900",0.18159293,5.822B,-0.5357971,349.0,115.10%,255.82,1.4 - Strong Buy,2026-02-04T21:30,1092922200000,2026-02-04,2026-02-04,8.799232,302.28,26.13,False,23.64M,1773619200.0,Nasdaq Real Time Price,2026-02-04T21:30,"23,640,054",0.83,8.80,255.82414,"3,656,681,259,008",300.44 - 307.61,True,-5.30%,1773432003,2026-03-15,
301.79,-0.26%,19886820,3.647T,USD,82.03%,142.66 - 350.15,142.66,-0.58%,Alphabet Inc.,us_market,2,0,"5,438,000,000",US,5438000000.0,3646761730048.0,82.031586,EQUITY,True,142.66,-0.1390547,,0.0027373768,44.97,15,-48.69,2,1776974400.0,307.24,-18.01,0.84,13.41138,1.113136,44.96704,2,307.0,0.28%,22.477924,NasdaqGS,21452536,34.35,,-48.690002,CLOSED,34.353,300.69,300.69,1776974400.0,10.82,301.79,0.83,142.66 - 350.15,0.28,319.47,11.55,-0.25541997,2026-03-15T20:00,-0.577158,America/New_York,,NMS,2,299.7801,27.861368,-1.75,299.78,27.86,303.21,2026-04-23T16:00,,False,True,13.41,301.19,Equity,,19.887M,307.24,2026-02-04T16:00,Alphabet Inc.,158.79999,2026-02-04,10.82,21.453M,finmb_29096,158.80,HIGH,2026-04-23,,299.7801 - 307.24,301.46,1770240600.0,26.094513,en-US,EDT,,22.48,0.27%,,7:59PM EDT,-0.056384657,0.84,-13.91%,2026-04-23T16:00,301.19,1773446396.0,USD,GOOG,4:00PM EDT,2026-04-23,-14400000,319.4734,-0.77,2,2,-1.75,17.53%,11.55262,303.21,"21,452,536",307.00,1770240600.0,1770238800.0,2.0,350.15,,-18.013397,16811259,"19,886,820",0.17531492,5.438B,-0.769989,350.15,111.31%,256.49,1.4 - Strong Buy,2026-02-04T21:30,1092922200000,2026-02-04,2026-02-04,8.775361,301.46,26.09,False,16.811M,1773619200.0,Nasdaq Real Time Price,2026-02-04T21:30,"16,811,259",0.83,8.78,256.49295,"3,646,761,730,048",299.78 - 307.24,True,-5.64%,1773432001,2026-03-15,Alphabet
395.79,-0.11%,34558880,2.94T,USD,3.39%,344.79 - 555.45,344.79,-1.58%,Microsoft Corporation,us_market,2,0,"7,425,629,076",US,7425629076.0,2939877064704.0,3.3856392,EQUITY,True,344.79,-0.28787473,,0.008658763,-88.04,15,-159.90,2,1777492800.0,404.80,-35.65,3.64,18.84401,0.14721999,-88.0358,2,400.72,0.92%,20.990755,NasdaqGS,33894930,52.62,,-159.90002,CLOSED,52.615,395.10,395.1,1777492800.0,15.98,395.79,3.48,344.79 - 555.45,0.92,431.20,16.73,-0.113761015,2026-03-11T20:00,-1.58122,America/New_York,,NMS,2,394.25,24.752815,-6.36,394.25,24.75,401.905,2026-04-29T16:00,,False,True,18.84,395.21,Equity,,34.559M,404.8,2026-01-28T16:00,Microsoft Corporation,50.75998,2026-01-28,15.98,33.895M,finmb_21835,50.76,HIGH,2026-04-29,,394.25 - 404.8,395.55,1769639400.0,23.644285,en-US,EDT,,20.99,0.87%,,7:59PM EDT,-0.08267202,3.64,-28.79%,2026-04-29T16:00,395.21,1773446396.0,USD,MSFT,4:00PM EDT,2026-04-29,-14400000,431.198,-0.45,2,2,-6.35501,-18.20%,16.7292,401.90,"33,894,930",400.72,1769639400.0,1769634000.0,2.0,555.45,,-35.64801,26350249,"34,558,880",-0.18204795,7.426B,-0.4499817,555.45,14.72%,483.59,1.3 - Strong Buy,2026-01-28T22:30,511108200000,2026-01-28,2026-01-28,7.5178175,395.55,23.64,False,26.35M,1773273600.0,Nasdaq Real Time Price,2026-01-28T22:30,"26,350,249",3.48,7.52,483.5858,"2,939,877,064,704",394.25 - 404.80,True,-8.27%,1773432002,2026-03-11,Microsoft
220.02,-0.18%,48230640,2.229T,USD,7.05%,161.38 - 258.6,161.38,-0.89%,"Amazon.com, Inc.",us_market,4,0,"10,734,920,870",US,10734920870.0,2229321072640.0,7.0450544,EQUITY,True,161.38,-0.19694512,,0.0,-17.02,15,-50.93,2,1777579200.0,210.56,-16.13,,9.34185,0.28683847,-17.017654,1,209.4,,22.230072,NasdaqGS,49194178,38.31,,-50.930008,CLOSED,38.306,207.30,207.3,1777579200.0,7.16,220.02,0.00,161.38 - 258.60,,223.80,7.72,-0.17816493,,-0.887701,America/New_York,,NMS,4,206.22,29.00419,-1.86,206.22,29.00,209.53,2026-04-30T16:00,,False,True,9.34,207.55,Equity,,48.231M,210.56,2026-02-05T16:00,"Amazon.com, Inc.",46.289993,2026-02-05,7.16,49.194M,finmb_18749,46.29,HIGH,2026-04-30,,206.22 - 210.56,207.67,1770328800.0,26.899006,en-US,EDT,,22.23,0.00%,,7:59PM EDT,-0.07208659,,-19.69%,2026-04-30T16:00,207.55,1773446393.0,USD,AMZN,4:00PM EDT,2026-04-30,-14400000,223.8032,-0.37,1,4,-1.86,-7.57%,7.72036,209.53,"49,194,178",209.40,1770328800.0,1770325200.0,1.0,258.60,,-16.13321,34201623,"48,230,640",-0.07573916,10.735B,-0.36999512,258.6,28.68%,224.69,1.3 - Strong Buy,2026-02-05T22:00,863703000000,2026-02-05,2026-02-05,5.421344,207.67,26.90,False,34.202M,,Nasdaq Real Time Price,2026-02-05T22:00,"34,201,623",0.0,5.42,224.68765,"2,229,321,072,640",206.22 - 210.56,True,-7.21%,1773432002,,Amazon.com
338.00,-0.15%,14292340,1.755T,TWD,91.05%,134.25 - 390.21,134.25,0.48%,Taiwan Semiconductor Manufactur,us_market,240,0,"5,186,504,904",US,5186504904.0,1754646446080.0,91.05197,EQUITY,True,134.25,-0.13300529,,0.06533813,57.89,15,-51.90,2,1776342600.0,344.51,-6.22,3.52,18.041,1.52,57.88794,120,343.92,1.04%,18.752285,NYSE,13089925,6.55,,-51.899994,CLOSED,6.546131,337.79,337.79,1776342600.0,10.42,338.0,22.00,134.25 - 390.21,1.04,344.53,14.33,-0.15370193,2026-07-08T20:00,0.475188,America/New_York,,NYQ,240,336.23,32.46737,1.60,336.23,32.47,336.71,2026-04-16T08:30,,False,False,18.04,337.76,Equity,,14.292M,344.5114,2026-01-15T08:30,Taiwan Semiconductor Manufacturing Company Limited,204.06,2026-01-15,10.42,13.09M,finmb_380075,204.06,LOW,2026-04-16,,336.23 - 344.5114,338.31,1768456800.0,23.602404,en-US,EDT,,18.75,6.53%,,7:59PM EDT,-0.01804106,3.52,-13.30%,2026-04-16T08:30,337.76,1773446399.0,USD,TSM,4:00PM EDT,2026-04-16,-14400000,344.5256,-0.52,120,240,1.60001,20.64%,14.33371,336.71,"13,089,925",343.92,1768456800.0,1768483800.0,120.0,390.21,,-6.2156067,17267249,"14,292,340",0.20643148,5.187B,-0.519989,390.21,152.00%,280.42,1.4 - Strong Buy,2026-01-15T06:00,876403800000,2026-01-15,2026-01-15,51.68091,338.31,23.60,False,17.267M,1783555200.0,Nasdaq Real Time Price,2026-01-15T06:00,"17,267,249",22.0,51.68,280.42206,"1,754,646,446,080",336.23 - 344.51,True,-1.80%,1773432002,2026-07-08,Taiwan Semiconductor Manufacturing Company
615.34,-0.46%,11903750,1.552T,USD,5.50%,479.8 - 796.25,479.80,-3.83%,"Meta Platforms, Inc.",us_market,1,0,"2,187,177,748",US,2187177748.0,1552413491200.0,5.501735,EQUITY,True,479.8,-0.22924958,,0.0032906076,-78.08,15,-182.54,2,1777492800.0,629.17,-41.60,2.10,35.77524,0.27909553,-78.08197,1,623.27,0.34%,17.154602,NasdaqGS,15023168,85.87,2026-03-13,-182.53998,CLOSED,85.867,610.90,610.9,1777492800.0,23.51,615.34,2.10,479.80 - 796.25,0.34,655.31,30.24,-0.45787057,2026-03-25T20:00,-3.83434,America/New_York,,NMS,1,609.55,26.104212,-24.47,609.55,26.10,638.18,2026-04-29T16:00,,False,True,35.78,613.34,Equity,,11.904M,629.1699,2026-01-28T16:00,"Meta Platforms, Inc.",133.91003,2026-01-28,23.51,15.023M,finmb_20765463,133.91,HIGH,2026-04-29,"Facebook, Inc.",609.55 - 629.1699,613.71,1769635800.0,20.296879,en-US,EDT,2022-06-09,17.15,0.33%,,7:59PM EDT,-0.0634757,2.1,-22.92%,2026-04-29T16:00,613.34,1773446398.0,USD,META,4:00PM EDT,2026-04-29,-14400000,655.306,-2.81,1,1,-24.47,-11.29%,30.23667,638.18,"15,023,168",623.27,1769635800.0,1769634000.0,1.0,796.25,,-41.59601,18758294,"11,903,750",-0.11286914,2.187B,-2.8099976,796.25,27.91%,691.79,1.3 - Strong Buy,2026-01-28T21:30,1337347800000,2026-01-28,2026-01-28,7.147217,613.71,20.30,False,18.758M,1774483200.0,Nasdaq Real Time Price,2026-01-28T21:30,"18,758,294",2.1,7.15,691.792,"1,552,413,491,200",609.55 - 629.17,True,-6.35%,1773432002,2026-03-25,Meta Platforms
321.99,-0.34%,31274650,1.527T,USD,72.74%,138.1 - 414.61,138.10,-4.13%,Broadcom Inc.,us_market,10,0,"4,735,602,612",US,4735602612.0,1527448731648.0,72.735214,EQUITY,True,138.1,-0.22298059,,0.007380074,-0.77,15,-92.45,2,1780516800.0,338.32,-11.46,2.60,17.53527,1.3328023,-0.76620483,1,337.725,0.81%,18.372114,NasdaqGS,30320956,59.22,,-92.44998,CLOSED,59.221,321.08,321.0783,1780516800.0,5.12,321.99,2.48,138.10 - 414.61,0.81,333.62,11.23,-0.33576345,2026-03-30T20:00,-4.13046,America/New_York,,NMS,10,321.43,62.92188,-13.88,321.43,62.92,336.04,2026-06-03T16:00,,False,True,17.54,319.17,Equity,,31.275M,338.32,2026-06-03T16:00,Broadcom Inc.,184.06,2026-06-04,5.12,30.321M,finmb_25016048,184.06,HIGH,2026-06-03,,321.43 - 338.32,322.16,1780606800.0,28.690205,en-US,EDT,,18.37,0.74%,,7:59PM EDT,-0.034338333,2.6,-22.30%,2026-06-03T16:00,319.17,1773446399.0,USD,AVGO,4:00PM EDT,2026-06-03,-14400000,333.6158,-1.08,1,10,-13.88,-0.24%,11.22892,336.04,"30,320,956",337.73,1780606800.0,1780516800.0,1.0,414.61,,-11.455811,25690012,"31,274,650",-0.0023726933,4.736B,-1.0816956,414.61,133.28%,322.93,1.2 - Strong Buy,2026-06-04T21:00,1249565400000,2026-06-03,2026-06-04,5.4399624,322.16,28.69,False,25.69M,1774915200.0,Nasdaq Real Time Price,2026-06-04T21:00,"25,690,012",2.48,5.44,322.9262,"1,527,448,731,648",321.43 - 338.32,False,-3.43%,1773432002,2026-03-30,Broadcom
391.65,-0.36%,60869300,1.468T,USD,65.96%,214.25 - 498.83,214.25,-0.96%,"Tesla, Inc.",us_market,1,0,"3,752,431,984",US,3752431984.0,1467951349760.0,65.963615,EQUITY,True,214.25,-0.21576485,,0.0,-2.11,15,-107.63,2,1776801600.0,400.16,-30.71,,2.81043,0.82590437,-2.1080017,1,399.165,,139.19579,NasdaqGS,64953431,21.90,,-107.629974,CLOSED,21.897,389.80,389.8,1776801600.0,1.1,391.65,0.00,214.25 - 498.83,,421.91,2.07,-0.35787943,,-0.964532,America/New_York,,NMS,1,389.95,355.63635,-3.81,389.95,355.64,395.01,2026-04-21T16:00,,False,True,2.81,391.86,Equity,,60.869M,400.16,2026-01-28T16:00,"Tesla, Inc.",176.95001,2026-01-28,1.10,64.953M,finmb_27444752,176.95,HIGH,2026-04-21,,389.95 - 400.16,391.20,1769639400.0,189.17468,en-US,EDT,,139.20,0.00%,,7:59PM EDT,-0.0727858,,-21.58%,2026-04-21T16:00,391.86,1773446399.0,USD,TSLA,4:00PM EDT,2026-04-21,-14400000,421.909,-1.40,1,1,-3.81,-0.54%,2.06793,395.01,"64,953,431",399.17,1769639400.0,1769634000.0,1.0,498.83,,-30.708984,57370326,"60,869,300",-0.0053596715,3.752B,-1.4000244,498.83,82.59%,393.31,2.5 - Buy,2026-01-28T22:30,1277818200000,2026-01-28,2026-01-28,17.865461,391.2,189.17,False,57.37M,,Nasdaq Real Time Price,2026-01-28T22:30,"57,370,326",0.0,17.87,393.308,"1,467,951,349,760",389.95 - 400.16,True,-7.28%,1773432001,,Tesla
