epstrailingtwelvemonths.raw,forwardpe.fmt,meta.eventtype,longname,earningstimestampend.longfmt,pricetobook.raw,earningstimestamp.raw,twohundreddayaveragechangepercent.fmt,messageboardid,earningstimestampend.raw,fiftytwoweekrange.fmt,financialcurrency,marketstate,postmarketprice.fmt,twohundreddayaveragechangepercent.raw,fiftytwoweeklowchange.raw,isearningsdateestimate,earningscalltimestampend.longfmt,fiftytwoweekhighchangepercent.fmt,fiftytwoweeklowchangepercent.fmt,asksize.longfmt,earningstimestampstart.fmt,pricetobook.fmt,regularmarketdayrange.raw,dividendrate.raw,regularmarketdayrange.fmt,earningscalltimestampstart.longfmt,fiftytwoweekhighchange.raw,dividendyield.fmt,language,regularmarketvolume.fmt,regularmarketdayhigh.raw,twohundreddayaverage.fmt,fiftytwoweekhigh.raw,sourceinterval,triggerable,firsttradedatemilliseconds,trailingannualdividendrate.fmt,exchangedatadelayedby,currency,averagedailyvolume3month.longfmt,fiftytwoweekhighchange.fmt,trailingannualdividendyield.raw,regularmarketprice.fmt,postmarkettime.fmt,twohundreddayaveragechange.fmt,fiftydayaveragechangepercent.raw,dividenddate.fmt,meta.splitratio,ipoexpecteddate,epsforward.fmt,fiftytwoweeklow.fmt,fiftytwoweekrange.raw,twohundreddayaverage.raw,earningscalltimestampend.fmt,epsforward.raw,postmarketchange.fmt,fullexchangename,custompricealertconfidence,regularmarketopen.fmt,shortname,fiftytwoweekhigh.fmt,trailingannualdividendyield.fmt,exchangetimezoneshortname,asksize.fmt,dividendyield.raw,tradeable,regularmarkettime.fmt,sharesoutstanding.raw,postmarketchangepercent.fmt,exchange,earningscalltimestampstart.fmt,ask.raw,epscurrentyear.fmt,market,region,symbol,fiftydayaveragechangepercent.fmt,hasprepostmarketdata,averagedailyvolume10day.longfmt,bidsize.longfmt,fiftydayaveragechange.raw,fiftydayaverage.fmt,earningscalltimestampend.raw,regularmarketprice.raw,priceepscurrentyear.fmt,trailingannualdividendrate.raw,quotetype,gmtoffsetmilliseconds,epstrailingtwelvemonths.fmt,regularmarketchange.fmt,fiftytwoweeklow.raw,asksize.raw,epscurrentyear.raw,dividenddate.longfmt,bid.fmt,meta.amount,priceepscurrentyear.raw,meta.dateepochms,fiftytwoweekchangepercent.raw,earningstimestamp.longfmt,ask.fmt,typedisp,regularmarketpreviousclose.raw,regularmarketvolume.longfmt,marketcap.longfmt,displayname,fiftydayaverage.raw,averagedailyvolume10day.raw,trailingpe.raw,averagedailyvolume3month.fmt,postmarketchange.raw,regularmarketchangepercent.raw,postmarkettime.raw,marketcap.fmt,pricehint,trailingpe.fmt,earningstimestampstart.raw,averagedailyvolume3month.raw,bookvalue.raw,fiftytwoweekhighchangepercent.raw,bidsize.fmt,fiftytwoweeklowchange.fmt,regularmarketpreviousclose.fmt,fiftytwoweekchangepercent.fmt,cryptotradeable,fiftytwoweeklowchangepercent.raw,marketcap.raw,regularmarketchangepercent.fmt,forwardpe.raw,dividenddate.raw,exchangetimezonename,bidsize.raw,bookvalue.fmt,bid.raw,postmarketchangepercent.raw,prevname,postmarketprice.raw,dividendrate.fmt,earningstimestampend.fmt,regularmarketvolume.raw,regularmarketchange.raw,averageanalystrating,header,namechangedate,regularmarkettime.raw,sharesoutstanding.longfmt,twohundreddayaveragechange.raw,regularmarketdaylow.raw,fiftydayaveragechange.fmt,quotesourcename,message,earningstimestampstart.longfmt,averagedailyvolume10day.fmt,regularmarketopen.raw,sharesoutstanding.fmt,earningstimestamp.fmt,earningscalltimestampstart.raw,regularmarketdayhigh.fmt,regularmarketdaylow.fmt,company_name
4.9,16.69,,NVIDIA Corporation,2026-05-20T16:00,27.85074,1779307200.0,1.74%,finmb_32307,1779307200.0,86.62 - 212.19,USD,CLOSED,180.20,0.01740083,93.63,False,2026-02-25T22:00,-15.05%,108.09%,1,2026-05-20,27.85,179.94 - 186.09,0.04,179.94 - 186.09,2026-02-25T22:00,-31.940002,0.02%,en-US,156.421M,186.09,177.17,212.19,15,True,917015400000,0.04,0,USD,"175,532,301",-31.94,0.00021838829,180.25,7:59PM EDT,3.08,-0.028858917,2025-12-25,,,10.80,86.62,86.62 - 212.19,177.16714,2026-02-25,10.80058,-0.05,NasdaqGS,HIGH,184.91,NVIDIA Corporation,212.19,0.02%,EDT,1,0.02,False,4:00PM EDT,24300000000.0,-0.03%,NMS,2026-02-25,182.0,8.25,us_market,US,NVDA,-2.89%,True,"192,173,920",8,-5.3563995,185.61,1772056800.0,180.25,21.84,0.04,EQUITY,-14400000,4.90,-2.91,86.62,1.0,8.25169,2025-12-25T19:00,180.01,,21.844011,,53.216766,2026-05-20T16:00,182.00,Equity,183.16,"156,420,571","4,380,976,218,112",NVIDIA,185.6064,192173920,36.785713,175.532M,-0.05180359,-1.58878,1773446399.0,4.381T,2,36.79,1779307200.0,175532301,6.472,-0.15052548,8,93.63,183.16,53.22%,False,1.0809281,4380976218112.0,-1.59%,16.68892,1766707200.0,America/New_York,8,6.47,180.01,-0.028739855,Usual Stablecoin,180.1982,0.04,2026-05-20,156420571,-2.91,1.3 - Strong Buy,,2026-03-13,1773432000,"24,300,000,000",3.0828552,179.94,-5.36,Nasdaq Real Time Price,,2026-05-20T16:00,192.174M,184.91,24.3B,2026-05-20,1772056800.0,186.09,179.94,NVIDIA Corporation
7.9,26.91,,Apple Inc.,2026-04-30T16:00,41.700565,1769720400.0,1.95%,finmb_24937,1777579200.0,169.21 - 288.62,USD,CLOSED,249.82,0.019504974,80.90999,True,2026-01-29T22:00,-13.34%,47.82%,3,2026-04-30,41.70,249.52 - 256.33,1.04,249.52 - 256.33,2026-01-29T22:00,-38.5,0.42%,en-US,34.194M,256.33,245.33,288.62,15,True,345479400000,1.03,0,USD,"48,149,878",-38.50,0.004027213,250.12,7:59PM EDT,4.79,-0.049576215,2026-02-11,,,9.30,169.21,169.21 - 288.62,245.33475,2026-01-29,9.29587,-0.30,NasdaqGS,HIGH,255.40,Apple Inc.,288.62,0.40%,EDT,3,0.42,False,4:00PM EDT,14681140000.0,-0.12%,NMS,2026-01-29,250.65,8.51,us_market,US,AAPL,-4.96%,True,"41,916,720",1,-13.046814,263.17,1769724000.0,250.12,29.39,1.03,EQUITY,-14400000,7.90,-5.64,169.21,3.0,8.51111,2026-02-11T19:00,240.00,,29.38747,,19.514025,2026-01-29T16:00,250.65,Equity,255.76,"34,193,754","3,676,245,065,728",Apple,263.1668,41916720,31.660759,48.15M,-0.2999878,-2.20519,1773446398.0,3.676T,2,31.66,1777579200.0,48149878,5.998,-0.13339339,1,80.91,255.76,19.51%,False,0.47816315,3676245065728.0,-2.21%,26.906572,1770854400.0,America/New_York,1,6.00,240.0,-0.11993755,,249.82,1.04,2026-04-30,34193754,-5.64,1.9 - Buy,,,1773432003,"14,681,140,000",4.785248,249.52,-13.05,Nasdaq Real Time Price,,2026-04-30T16:00,41.917M,255.4,14.681B,2026-01-29,1769724000.0,256.33,249.52,Apple Inc.
10.82,22.54,,Alphabet Inc.,2026-04-23T16:00,8.799232,1770238800.0,18.16%,finmb_29096,1776974400.0,140.53 - 349.00,USD,CLOSED,301.74,0.18159293,161.75,True,2026-02-04T21:30,-13.39%,115.10%,1,2026-04-23,8.80,300.44 - 307.615,0.84,300.44 - 307.61,2026-02-04T21:30,-46.72,0.28%,en-US,23.64M,307.615,255.82,349.0,15,True,1092922200000,0.83,0,USD,"33,613,376",-46.72,0.0027343107,302.28,7:59PM EDT,46.46,-0.052963644,2026-03-15,,,13.41,140.53,140.53 - 349.0,255.82414,2026-02-04,13.41138,-0.54,NasdaqGS,HIGH,307.18,Alphabet Inc.,349.00,0.27%,EDT,1,0.28,False,4:00PM EDT,5822000000.0,-0.18%,NMS,2026-02-04,316.65,11.57,us_market,US,GOOGL,-5.30%,True,"30,739,900",1,-16.905212,319.19,1770240600.0,302.28,26.13,0.83,EQUITY,-14400000,10.82,-1.27,140.53,1.0,11.56936,2026-03-15T20:00,285.78,,26.127634,,84.76474,2026-02-04T16:00,316.65,Equity,303.55,"23,640,054","3,656,681,259,008",,319.1852,30739900,27.937155,33.613M,-0.5357971,-0.418379,1773446399.0,3.657T,2,27.94,1776974400.0,33613376,34.353,-0.1338682,1,161.75,303.55,84.76%,False,1.1509998,3656681259008.0,-0.42%,22.539068,1773619200.0,America/New_York,1,34.35,285.78,-0.17725192,,301.7442,0.84,2026-04-23,23640054,-1.26999,1.4 - Strong Buy,,,1773432003,"5,822,000,000",46.455856,300.44,-16.91,Nasdaq Real Time Price,,2026-04-23T16:00,30.74M,307.18,5.822B,2026-02-04,1770240600.0,307.61,300.44,Alphabet Inc.
10.82,22.48,,Alphabet Inc.,2026-04-23T16:00,8.775361,1770238800.0,17.53%,finmb_29096,1776974400.0,142.66 - 350.15,USD,CLOSED,300.69,0.17531492,158.79999,True,2026-02-04T21:30,-13.91%,111.31%,2,2026-04-23,8.78,299.7801 - 307.24,0.84,299.78 - 307.24,2026-02-04T21:30,-48.690002,0.28%,en-US,16.811M,307.24,256.49,350.15,15,True,1092922200000,0.83,0,USD,"21,452,536",-48.69,0.0027373768,301.46,7:59PM EDT,44.97,-0.056384657,2026-03-15,,,13.41,142.66,142.66 - 350.15,256.49295,2026-02-04,13.41138,-0.77,NasdaqGS,HIGH,307.00,Alphabet Inc.,350.15,0.27%,EDT,2,0.28,False,4:00PM EDT,5438000000.0,-0.26%,NMS,2026-02-04,301.79,11.55,us_market,US,GOOG,-5.64%,True,"19,886,820",2,-18.013397,319.47,1770240600.0,301.46,26.09,0.83,EQUITY,-14400000,10.82,-1.75,142.66,2.0,11.55262,2026-03-15T20:00,301.19,,26.094513,,82.031586,2026-02-04T16:00,301.79,Equity,303.21,"16,811,259","3,646,761,730,048",Alphabet,319.4734,19886820,27.861368,21.453M,-0.769989,-0.577158,1773446396.0,3.647T,2,27.86,1776974400.0,21452536,34.353,-0.1390547,2,158.80,303.21,82.03%,False,1.113136,3646761730048.0,-0.58%,22.477924,1773619200.0,America/New_York,2,34.35,301.19,-0.25541997,,300.69,0.84,2026-04-23,16811259,-1.75,1.4 - Strong Buy,,,1773432001,"5,438,000,000",44.96704,299.7801,-18.01,Nasdaq Real Time Price,,2026-04-23T16:00,19.887M,307.0,5.438B,2026-02-04,1770240600.0,307.24,299.78,Alphabet Inc.
15.98,20.99,,Microsoft Corporation,2026-04-29T16:00,7.5178175,1769634000.0,-18.20%,finmb_21835,1777492800.0,344.79 - 555.45,USD,CLOSED,395.10,-0.18204795,50.75998,True,2026-01-28T22:30,-28.79%,14.72%,2,2026-04-29,7.52,394.25 - 404.8,3.64,394.25 - 404.80,2026-01-28T22:30,-159.90002,0.92%,en-US,26.35M,404.8,483.59,555.45,15,True,511108200000,3.48,0,USD,"33,894,930",-159.90,0.008658763,395.55,7:59PM EDT,-88.04,-0.08267202,2026-03-11,,,18.84,344.79,344.79 - 555.45,483.5858,2026-01-28,18.84401,-0.45,NasdaqGS,HIGH,400.72,Microsoft Corporation,555.45,0.87%,EDT,2,0.92,False,4:00PM EDT,7425629076.0,-0.11%,NMS,2026-01-28,395.79,16.73,us_market,US,MSFT,-8.27%,True,"34,558,880",2,-35.64801,431.20,1769639400.0,395.55,23.64,3.48,EQUITY,-14400000,15.98,-6.36,344.79,2.0,16.7292,2026-03-11T20:00,395.21,,23.644285,,3.3856392,2026-01-28T16:00,395.79,Equity,401.905,"26,350,249","2,939,877,064,704",Microsoft,431.198,34558880,24.752815,33.895M,-0.4499817,-1.58122,1773446396.0,2.94T,2,24.75,1777492800.0,33894930,52.615,-0.28787473,2,50.76,401.90,3.39%,False,0.14721999,2939877064704.0,-1.58%,20.990755,1773273600.0,America/New_York,2,52.62,395.21,-0.113761015,,395.1,3.64,2026-04-29,26350249,-6.35501,1.3 - Strong Buy,,,1773432002,"7,425,629,076",-88.0358,394.25,-35.65,Nasdaq Real Time Price,,2026-04-29T16:00,34.559M,400.72,7.426B,2026-01-28,1769639400.0,404.80,394.25,Microsoft Corporation
7.16,22.23,,"Amazon.com, Inc.",2026-04-30T16:00,5.421344,1770325200.0,-7.57%,finmb_18749,1777579200.0,161.38 - 258.60,USD,CLOSED,207.30,-0.07573916,46.289993,True,2026-02-05T22:00,-19.69%,28.68%,1,2026-04-30,5.42,206.22 - 210.56,,206.22 - 210.56,2026-02-05T22:00,-50.930008,,en-US,34.202M,210.56,224.69,258.6,15,True,863703000000,0.00,0,USD,"49,194,178",-50.93,0.0,207.67,7:59PM EDT,-17.02,-0.07208659,,,,9.34,161.38,161.38 - 258.6,224.68765,2026-02-05,9.34185,-0.37,NasdaqGS,HIGH,209.40,"Amazon.com, Inc.",258.60,0.00%,EDT,1,,False,4:00PM EDT,10734920870.0,-0.18%,NMS,2026-02-05,220.02,7.72,us_market,US,AMZN,-7.21%,True,"48,230,640",4,-16.13321,223.80,1770328800.0,207.67,26.90,0.0,EQUITY,-14400000,7.16,-1.86,161.38,1.0,7.72036,,207.55,,26.899006,,7.0450544,2026-02-05T16:00,220.02,Equity,209.53,"34,201,623","2,229,321,072,640",Amazon.com,223.8032,48230640,29.00419,49.194M,-0.36999512,-0.887701,1773446393.0,2.229T,2,29.00,1777579200.0,49194178,38.306,-0.19694512,4,46.29,209.53,7.05%,False,0.28683847,2229321072640.0,-0.89%,22.230072,,America/New_York,4,38.31,207.55,-0.17816493,,207.3,,2026-04-30,34201623,-1.86,1.3 - Strong Buy,,,1773432002,"10,734,920,870",-17.017654,206.22,-16.13,Nasdaq Real Time Price,,2026-04-30T16:00,48.231M,209.4,10.735B,2026-02-05,1770328800.0,210.56,206.22,"Amazon.com, Inc."
10.39,18.75,,Taiwan Semiconductor Manufacturing Company Limited,2026-04-16T08:30,51.68091,1768483800.0,20.64%,finmb_380075,1776342600.0,134.25 - 390.21,TWD,CLOSED,337.79,0.20643148,204.06,True,2026-01-15T06:00,-13.30%,152.00%,120,2026-04-16,51.68,336.23 - 344.5114,3.52,336.23 - 344.51,2026-01-15T06:00,-51.899994,1.04%,en-US,17.267M,344.5114,280.42,390.21,15,False,876403800000,22.00,0,USD,"13,089,925",-51.90,0.06533813,338.31,7:59PM EDT,57.89,-0.01804106,2026-07-08,,,18.04,134.25,134.25 - 390.21,280.42206,2026-01-15,18.041,-0.52,NYSE,LOW,343.92,Taiwan Semiconductor Manufactur,390.21,6.53%,EDT,120,1.04,False,4:00PM EDT,5186504904.0,-0.15%,NYQ,2026-01-15,338.0,14.33,us_market,US,TSM,-1.80%,True,"14,292,340",240,-6.2156067,344.53,1768456800.0,338.31,23.60,22.0,EQUITY,-14400000,10.39,1.60,134.25,120.0,14.33371,2026-07-08T20:00,337.76,,23.602404,,91.05197,2026-01-15T08:30,338.00,Equity,336.71,"17,267,249","1,754,646,446,080",Taiwan Semiconductor Manufacturing Company,344.5256,14292340,32.561115,13.09M,-0.519989,0.475188,1773446399.0,1.755T,2,32.56,1776342600.0,13089925,6.546131,-0.13300529,240,204.06,336.71,91.05%,False,1.52,1754646446080.0,0.48%,18.752285,1783555200.0,America/New_York,240,6.55,337.76,-0.15370193,,337.79,3.52,2026-04-16,17267249,1.60001,1.4 - Strong Buy,,,1773432002,"5,186,504,904",57.88794,336.23,-6.22,Nasdaq Real Time Price,,2026-04-16T08:30,14.292M,343.92,5.187B,2026-01-15,1768456800.0,344.51,336.23,Taiwan Semiconductor Manufacturing Company Limited
23.51,17.15,,"Meta Platforms, Inc.",2026-04-29T16:00,7.147217,1769634000.0,-11.29%,finmb_20765463,1777492800.0,479.80 - 796.25,USD,CLOSED,610.90,-0.11286914,133.91003,True,2026-01-28T21:30,-22.92%,27.91%,1,2026-04-29,7.15,609.55 - 629.1699,2.1,609.55 - 629.17,2026-01-28T21:30,-182.53998,0.34%,en-US,18.758M,629.1699,691.79,796.25,15,True,1337347800000,2.10,0,USD,"15,023,168",-182.54,0.0032906076,613.71,7:59PM EDT,-78.08,-0.0634757,2026-03-25,,2022-06-09,35.78,479.80,479.8 - 796.25,691.792,2026-01-28,35.77524,-2.81,NasdaqGS,HIGH,623.27,"Meta Platforms, Inc.",796.25,0.33%,EDT,1,0.34,False,4:00PM EDT,2187177748.0,-0.46%,NMS,2026-01-28,615.34,30.17,us_market,US,META,-6.35%,True,"11,903,750",1,-41.59601,655.31,1769635800.0,613.71,20.34,2.1,EQUITY,-14400000,23.51,-24.47,479.8,1.0,30.16773,2026-03-25T20:00,613.34,,20.343262,,5.501735,2026-01-28T16:00,615.34,Equity,638.18,"18,758,294","1,552,413,491,200",Meta Platforms,655.306,11903750,26.104212,15.023M,-2.8099976,-3.83434,1773446398.0,1.552T,2,26.10,1777492800.0,15023168,85.867,-0.22924958,1,133.91,638.18,5.50%,False,0.27909553,1552413491200.0,-3.83%,17.154602,1774483200.0,America/New_York,1,85.87,613.34,-0.45787057,"Facebook, Inc.",610.9,2.10,2026-04-29,18758294,-24.47,1.3 - Strong Buy,,2026-03-13,1773432002,"2,187,177,748",-78.08197,609.55,-41.60,Nasdaq Real Time Price,,2026-04-29T16:00,11.904M,623.27,2.187B,2026-01-28,1769635800.0,629.17,609.55,"Meta Platforms, Inc."
5.12,18.37,,Broadcom Inc.,2026-06-03T16:00,5.4399624,1780516800.0,-0.24%,finmb_25016048,1780516800.0,138.10 - 414.61,USD,CLOSED,321.08,-0.0023726933,184.06,False,2026-06-04T21:00,-22.30%,133.28%,1,2026-06-03,5.44,321.43 - 338.32,2.6,321.43 - 338.32,2026-06-04T21:00,-92.44998,0.81%,en-US,25.69M,338.32,322.93,414.61,15,True,1249565400000,2.48,0,USD,"30,320,956",-92.45,0.007380074,322.16,7:59PM EDT,-0.77,-0.034338333,2026-03-30,,,17.54,138.10,138.1 - 414.61,322.9262,2026-06-04,17.53527,-1.08,NasdaqGS,HIGH,337.73,Broadcom Inc.,414.61,0.74%,EDT,1,0.81,False,4:00PM EDT,4735602612.0,-0.34%,NMS,2026-06-04,321.99,11.23,us_market,US,AVGO,-3.43%,True,"31,274,650",10,-11.455811,333.62,1780606800.0,322.16,28.69,2.48,EQUITY,-14400000,5.12,-13.88,138.1,1.0,11.22892,2026-03-30T20:00,319.17,,28.690205,,72.735214,2026-06-03T16:00,321.99,Equity,336.04,"25,690,012","1,527,448,731,648",Broadcom,333.6158,31274650,62.92188,30.321M,-1.0816956,-4.13046,1773446399.0,1.527T,2,62.92,1780516800.0,30320956,59.221,-0.22298059,10,184.06,336.04,72.74%,False,1.3328023,1527448731648.0,-4.13%,18.372114,1774915200.0,America/New_York,10,59.22,319.17,-0.33576345,,321.0783,2.60,2026-06-03,25690012,-13.88,1.2 - Strong Buy,,,1773432002,"4,735,602,612",-0.76620483,321.43,-11.46,Nasdaq Real Time Price,,2026-06-03T16:00,31.275M,337.725,4.736B,2026-06-03,1780606800.0,338.32,321.43,Broadcom Inc.
1.1,139.20,,"Tesla, Inc.",2026-04-21T16:00,17.865461,1769634000.0,-0.54%,finmb_27444752,1776801600.0,214.25 - 498.83,USD,CLOSED,389.80,-0.0053596715,176.95001,True,2026-01-28T22:30,-21.58%,82.59%,1,2026-04-21,17.87,389.95 - 400.16,,389.95 - 400.16,2026-01-28T22:30,-107.629974,,en-US,57.37M,400.16,393.31,498.83,15,True,1277818200000,0.00,0,USD,"64,953,431",-107.63,0.0,391.20,7:59PM EDT,-2.11,-0.0727858,,,,2.81,214.25,214.25 - 498.83,393.308,2026-01-28,2.81043,-1.40,NasdaqGS,HIGH,399.17,"Tesla, Inc.",498.83,0.00%,EDT,1,,False,4:00PM EDT,3752431984.0,-0.36%,NMS,2026-01-28,391.65,2.07,us_market,US,TSLA,-7.28%,True,"60,869,300",1,-30.708984,421.91,1769639400.0,391.2,189.17,0.0,EQUITY,-14400000,1.10,-3.81,214.25,1.0,2.06793,,391.86,,189.17468,,65.963615,2026-01-28T16:00,391.65,Equity,395.01,"57,370,326","1,467,951,349,760",Tesla,421.909,60869300,355.63635,64.953M,-1.4000244,-0.964532,1773446399.0,1.468T,2,355.64,1776801600.0,64953431,21.897,-0.21576485,1,176.95,395.01,65.96%,False,0.82590437,1467951349760.0,-0.96%,139.19579,,America/New_York,1,21.90,391.86,-0.35787943,,389.8,,2026-04-21,57370326,-3.81,2.5 - Buy,,,1773432001,"3,752,431,984",-2.1080017,389.95,-30.71,Nasdaq Real Time Price,,2026-04-21T16:00,60.869M,399.165,3.752B,2026-01-28,1769639400.0,400.16,389.95,"Tesla, Inc."
